"id","name","grid","homepage","rdf-schema#seeAlso","owl#sameAS","created"
"1322780083","Minnesota Department of Natural Resources","grid.448381.2","http://dnr.state.mn.us/","http://en.wikipedia.org/wiki/Minnesota_Department_of_Natural_Resources","http://dbpedia.org/resource/Minnesota_Department_of_Natural_Resources","2016-06-24"
"2799845340","Special Astrophysical Observatory","grid.452760.2","","http://en.wikipedia.org/wiki/Special_Astrophysical_Observatory_of_the_Russian_Academy_of_Science","http://dbpedia.org/resource/Special_Astrophysical_Observatory_of_the_Russian_Academy_of_Science","2018-05-17"
"2800001333","Bundang Jesaeng Hospital","grid.413128.d","","http://en.wikipedia.org/wiki/Bundang_Jesaeng_Hospital","http://dbpedia.org/resource/Bundang_Jesaeng_Hospital","2018-05-17"
"2800804617","Laniado Hospital","grid.415791.f","","http://en.wikipedia.org/wiki/Laniado_Hospital","http://dbpedia.org/resource/Laniado_Hospital","2018-05-17"
"2801198184","Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut","grid.461627.0","","http://en.wikipedia.org/wiki/Fraunhofer_Institute_for_High-Speed_Dynamics","http://dbpedia.org/resource/Fraunhofer_Institute_for_High-Speed_Dynamics","2018-05-17"
"4693666","CGG","grid.424190.a","http://www.cgg.com/","http://en.wikipedia.org/wiki/CGG_(company)","http://dbpedia.org/resource/CGG_(company)","2016-06-24"
"7377986","Takushoku University","grid.440936.c","http://www.takushoku-u.ac.jp/","http://en.wikipedia.org/wiki/Takushoku_University","http://dbpedia.org/resource/Takushoku_University","2016-06-24"
"8679417","Open University of Hong Kong","grid.445014.0","http://www.ouhk.edu.hk/","http://en.wikipedia.org/wiki/Open_University_of_Hong_Kong","http://dbpedia.org/resource/Open_University_of_Hong_Kong","2016-06-24"
"10108243","South Shields","","","http://en.wikipedia.org/wiki/South_Shields_(rugby_league)","http://dbpedia.org/resource/South_Shields_(rugby_league)","2016-06-24"
"11617743","ANAS","","http://www.stradeanas.it/","http://en.wikipedia.org/wiki/ANAS","http://dbpedia.org/resource/ANAS","2016-06-24"
"18014758","Simon Fraser University","grid.61971.38","https://www.sfu.ca/","http://en.wikipedia.org/wiki/Simon_Fraser_University","http://dbpedia.org/resource/Simon_Fraser_University","2016-06-24"
"27650515","Kobe Gakuin University","grid.410784.e","http://www.kobegakuin.ac.jp/","http://en.wikipedia.org/wiki/Kobe_Gakuin_University","http://dbpedia.org/resource/Kobe_Gakuin_University","2016-06-24"
"33256026","German Research Centre for Artificial Intelligence","grid.17272.31","http://www.dfki.de/","http://en.wikipedia.org/wiki/German_Research_Centre_for_Artificial_Intelligence","http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence","2016-06-24"
"55931168","&#x00C7;ukurova University","grid.98622.37","http://www.cu.edu.tr/","http://en.wikipedia.org/wiki/Çukurova_University","http://dbpedia.org/resource/Çukurova_University","2016-06-24"
"56691919","Christian Theological Seminary","grid.431592.8","http://www.cts.edu/","http://en.wikipedia.org/wiki/Christian_Theological_Seminary","http://dbpedia.org/resource/Christian_Theological_Seminary","2016-06-24"
"58064216","Bellevue University","grid.441585.9","http://www.bellevue.edu/","http://en.wikipedia.org/wiki/Bellevue_University","http://dbpedia.org/resource/Bellevue_University","2016-06-24"
"60205797","Abilene Christian University","grid.251705.4","http://www.acu.edu/","http://en.wikipedia.org/wiki/Abilene_Christian_University","http://dbpedia.org/resource/Abilene_Christian_University","2016-06-24"
"70277191","Institute of Technology, Carlow","grid.435416.1","http://www.itcarlow.ie/","http://en.wikipedia.org/wiki/Institute_of_Technology,_Carlow","http://dbpedia.org/resource/Institute_of_Technology,_Carlow","2016-06-24"
"70865968","Rhine-Waal University of Applied Sciences","grid.449481.4","http://www.hochschule-rhein-waal.de/en","http://en.wikipedia.org/wiki/Rhine-Waal_University_of_Applied_Sciences","http://dbpedia.org/resource/Rhine-Waal_University_of_Applied_Sciences","2016-06-24"
"75380228","McKinsey &amp; Company","","http://www.mckinsey.com/","http://en.wikipedia.org/wiki/McKinsey_&_Company","http://dbpedia.org/resource/McKinsey_&_Company","2016-06-24"
"100633361","University of Massachusetts Dartmouth","grid.266686.a","http://www.umassd.edu/","http://en.wikipedia.org/wiki/University_of_Massachusetts_Dartmouth","http://dbpedia.org/resource/University_of_Massachusetts_Dartmouth","2016-06-24"
"107558787","Shin Ansan University","grid.449181.1","http://www.sau.ac.kr/","http://en.wikipedia.org/wiki/Shin_Ansan_University","http://dbpedia.org/resource/Shin_Ansan_University","2016-06-24"
"107740395","Sri Venkateswara Institute of Medical Sciences","grid.416288.1","http://svimstpt.ap.nic.in/","http://en.wikipedia.org/wiki/Sri_Venkateswara_Institute_of_Medical_Sciences","http://dbpedia.org/resource/Sri_Venkateswara_Institute_of_Medical_Sciences","2016-06-24"
"115301423","Hiroshima National College of Maritime Technology","grid.468865.1","http://www.hiroshima-cmt.ac.jp/","http://en.wikipedia.org/wiki/Hiroshima_National_College_of_Maritime_Technology","http://dbpedia.org/resource/Hiroshima_National_College_of_Maritime_Technology","2016-06-24"
"132468318","Watkins-Johnson Company","","http://watkins-johnson.terryo.org/","http://en.wikipedia.org/wiki/Watkins-Johnson_Company","http://dbpedia.org/resource/Watkins-Johnson_Company","2016-06-24"
"137265193","University of Chester","grid.43710.31","http://www.chester.ac.uk/","http://en.wikipedia.org/wiki/University_of_Chester","http://dbpedia.org/resource/University_of_Chester","2016-06-24"
"138272832","Devi Ahilya Vishwavidyalaya","grid.412015.3","http://www.dauniv.ac.in/","http://en.wikipedia.org/wiki/Devi_Ahilya_Vishwavidyalaya","http://dbpedia.org/resource/Devi_Ahilya_Vishwavidyalaya","2016-06-24"
"142393192","College of Staten Island","grid.254498.6","http://www.csi.cuny.edu/","http://en.wikipedia.org/wiki/College_of_Staten_Island","http://dbpedia.org/resource/College_of_Staten_Island","2016-06-24"
"142947616","Institute of Cancer Research","grid.18886.3f","http://www.icr.ac.uk/","http://en.wikipedia.org/wiki/Institute_of_Cancer_Research","http://dbpedia.org/resource/Institute_of_Cancer_Research","2016-06-24"
"159885104","&#x00C9;cole pratique des hautes &#x00E9;tudes","grid.424469.9","http://www.ephe.fr/en","http://en.wikipedia.org/wiki/École_pratique_des_hautes_études","http://dbpedia.org/resource/École_pratique_des_hautes_études","2016-06-24"
"165488957","Lingnan University","grid.411382.d","http://www.ln.edu.hk/","http://en.wikipedia.org/wiki/Lingnan_University_(Hong_Kong)","http://dbpedia.org/resource/Lingnan_University_(Hong_Kong)","2016-06-24"
"169729158","Syktyvkar State University","grid.446183.c","http://www.syktsu.ru/","http://en.wikipedia.org/wiki/Syktyvkar_State_University","http://dbpedia.org/resource/Syktyvkar_State_University","2016-06-24"
"174689663","Universidad de Flores","grid.441620.5","http://www.uflo.edu.ar/","http://en.wikipedia.org/wiki/Universidad_de_Flores","http://dbpedia.org/resource/Universidad_de_Flores","2016-06-24"
