"id","cites"
"6476835","632425983"
"6476835","1980377313"
"89752976","2112328181"
"90874290","2009792006"
"181679081","2013185890"
"181679081","2016864439"
"183787646","2074647751"
"215358465","415970015"
"232674160","1491831832"
"316398983","645926984"
"338477973","581977732"
"371834693","2157040450"
"385052918","651177479"
"385052918","2062707514"
"385628702","1483382787"
"416220036","1930648998"
"584176565","1996728671"
"603011774","574431387"
"603412648","1877857629"
"616879245","1763480203"
"628605380","1569207974"
"637294680","2028770837"
"637294680","2031853666"
"637294680","2049068683"
"641398872","1569456331"
"645103174","2492043356"
"651675781","2027626445"
"656586720","1541511385"
"1041206491","1551390204"
"1152447279","1532640227"
"1156317859","2138328122"
"1177475242","1534581170"
"1468785594","576244110"
"1468785594","2064468954"
"1473955752","2154909745"
"1479811722","1835098915"
"1483256566","2054149722"
"1483689388","2056557280"
"1484619335","1788326252"
"1486700900","2240674456"
"1490060669","1580684925"
"1490060669","1870652017"
"1491485219","1580044177"
"1493591121","2097569711"
"1497805930","2132524091"
"1501029213","1507709588"
"1501907526","2020812527"
"1507687711","651177479"
"1507852408","2080828514"
"1513181068","2149601387"
"1517666714","2000188936"
"1521310175","2096903159"
"1528868330","1529805121"
"1529657095","1981452642"
"1531158669","1969222105"
"1534191998","2083317499"
"1535064775","1902686527"
"1542013628","2146348617"
"1542874611","2016528028"
"1542874611","2044708993"
"1544251028","582627861"
"1544154492","2143900440"
"1548227743","2096903159"
"1548258539","1537194888"
"1548258539","1990603154"
"1548258539","2064468954"
"1548258539","2136175106"
"1548258539","2479232988"
"1548258539","2503666171"
"1549788315","1543677038"
"1550338291","1985103068"
"1557502716","1992695129"
"1558831267","1561581895"
"1561238607","1795907807"
"1563948099","2285112595"
"1564712807","1838367527"
"1564712807","2003082442"
"1565866290","2123838014"
"1565916330","1542237703"
"1571651079","2167754485"
"1572261858","2070725214"
"1572261858","2142504982"
"1577064885","2152526946"
"1577765769","2109494272"
"1579956324","609417807"
"1581064268","2154909745"
"1583242969","1567145670"
"1584428635","1992647660"
"1585749274","1480873147"
"1588284400","655052658"
"1588284400","2037880294"
"1588517172","2266439699"
"1595420666","2132524091"
"1595441201","1981174677"
"1596019972","1970131865"
"1596793375","2154909745"
"1599857818","1773070719"
"1601565116","2075821777"
"1604625705","2061365762"
"1606340743","2109863423"
"1608110354","2050673266"
"1615281511","2066547779"
"1622600969","2160116334"
"1620365865","1572977974"
"1624314932","2023683095"
"1621525304","2155416760"
